担当者CD,処理区分,成約NO,成約NO枝番,成約NO行番,貨物区分,貨物区分名,契約顧客区分,契約顧客区分名,請求先CD,請求先正式名,成約先状況1,成約先状況2,成約先状況3,成約先状況4,成約先状況5,成約先状況6,作業形態CD,作業形態名,荷主CD,荷主名,契約期間開始日,契約期間終了日,PlaceofReceiptCD,PlaceofReceipt名,CarrierCD,Carrier名,RouteCD,Route名,PlaceofDeliveryCD,PlaceofDelivery名,請求項目CD,請求項目名,請求項目通貨CD,請求項目通貨名,請求項目単位CD,請求項目単位名,請求項目単価,備考,運送形態CD,運送形態名,発地CD,発地名,発地住所,着地CD,着地名,着地住所,ChargeCD1,Charge名1,Charge通貨単位CD1,Charge通貨単位名1,Charge単位CD1,Charge単位名1,Charge単価1,ChargeCD2,Charge名2,Charge通貨単位CD2,Charge通貨単位名2,Charge単位CD2,Charge単位名2,Charge単価2,ChargeCD3,Charge名3,Charge通貨単位CD3,Charge通貨単位名3,Charge単位CD3,Charge単位名3,Charge単価3,ChargeCD4,Charge名4,Charge通貨単位CD4,Charge通貨単位名4,Charge単位CD4,Charge単位名4,Charge単価4,ChargeCD5,Charge名5,Charge通貨単位CD5,Charge通貨単位名5,Charge単位CD5,Charge単位名5,Charge単価5,ChargeCD6,Charge名6,Charge通貨単位CD6,Charge通貨単位名6,Charge単位CD6,Charge単位名6,Charge単価6,ChargeCD7,Charge名7,Charge通貨単位CD7,Charge通貨単位名7,Charge単位CD7,Charge単位名7,Charge単価7,ChargeCD8,Charge名8,Charge通貨単位CD8,Charge通貨単位名8,Charge単位CD8,Charge単位名8,Charge単価8,ChargeCD9,Charge名9,Charge通貨単位CD9,Charge通貨単位名9,Charge単位CD9,Charge単位名9,Charge単価9,ChargeCD10,Charge名10,Charge通貨単位CD10,Charge通貨単位名10,Charge単位CD10,Charge単位名10,Charge単価10,ChargeCD11,Charge名11,Charge通貨単位CD11,Charge通貨単位名11,Charge単位CD11,Charge単位名11,Charge単価11,ChargeCD12,Charge名12,Charge通貨単位CD12,Charge通貨単位名12,Charge単位CD12,Charge単位名12,Charge単価12,ChargeCD13,Charge名13,Charge通貨単位CD13,Charge通貨単位名13,Charge単位CD13,Charge単位名13,Charge単価13,ChargeCD14,Charge名14,Charge通貨単位CD14,Charge通貨単位名14,Charge単位CD14,Charge単位名14,Charge単価14,ChargeCD15,Charge名15,Charge通貨単位CD15,Charge通貨単位名15,Charge単位CD15,Charge単位名15,Charge単価15,ChargeCD16,Charge名16,Charge通貨単位CD16,Charge通貨単位名16,Charge単位CD16,Charge単位名16,Charge単価16,ChargeCD17,Charge名17,Charge通貨単位CD17,Charge通貨単位名17,Charge単位CD17,Charge単位名17,Charge単価17,ChargeCD18,Charge名18,Charge通貨単位CD18,Charge通貨単位名18,Charge単位CD18,Charge単位名18,Charge単価18,ChargeCD19,Charge名19,Charge通貨単位CD19,Charge通貨単位名19,Charge単位CD19,Charge単位名19,Charge単価19,ChargeCD20,Charge名20,Charge通貨単位CD20,Charge通貨単位名20,Charge単位CD20,Charge単位名20,Charge単価20
0449,1,M25052000017,0000,3,0,,0,,U00001,株式会社AAAｺｰﾎﾟﾚｰｼｮﾝ,ETD 2026/4/1分から適用,,,,M2025052000003,M25052000017,EFCL,,U00001,株式会社AAAｺｰﾎﾟﾚｰｼｮﾝ,2026/1/1 0:00:00,2026/9/30 0:00:00,CNSHA,,HAS,,1,,JPUKB,,2000,,USD,,C03,,440,ETDベース,,,,,,,,,2030,CARRIERS DOC FEE■,JPY,,14,,6000,,,,,,,,2010,THC■,JPY,,C03,,55000,2050,FAF,USD,,C03,,400,2060,YAS,USD,,C03,,60,2220,LSS,USD,,C03,,300,,,,,,,,2160,CIC,USD,,C03,,360,2210,EMC,JPY,,C03,,6000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0449,1,M25052000017,0000,4,0,,0,,U00001,株式会社AAAｺｰﾎﾟﾚｰｼｮﾝ,ETD 2026/4/1分から適用,,,,M2025052000003,M25052000017,EFCL,,U00001,株式会社AAAｺｰﾎﾟﾚｰｼｮﾝ,2026/1/1 0:00:00,2026/9/30 0:00:00,CNSHA,,HAS,,1,,JPUKB,,2000,,USD,,C04,,440,ETDベース,,,,,,,,,2030,CARRIERS DOC FEE■,JPY,,14,,6000,,,,,,,,2010,THC■,JPY,,C04,,55000,2050,FAF,USD,,C04,,400,2060,YAS,USD,,C04,,60,2220,LSS,USD,,C04,,300,,,,,,,,2160,CIC,USD,,C04,,360,2210,EMC,JPY,,C04,,6000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0449,1,M25052000020,0000,1,0,,0,,U00001,株式会社AAAｺｰﾎﾟﾚｰｼｮﾝ,ETD 2026/4/1分から適用,,,,M2025052000003,M25052000020,EFCL,,U00001,株式会社AAAｺｰﾎﾟﾚｰｼｮﾝ,2026/1/1 0:00:00,2026/9/30 0:00:00,CNSHA,,COS,,1,,JPOSA,,2041,,JPY,,C00,,3000,ETDベース,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0449,1,M25052000020,0000,2,0,,0,,U00001,株式会社AAAｺｰﾎﾟﾚｰｼｮﾝ,ETD 2026/4/1分から適用,,,,M2025052000003,M25052000020,EFCL,,U00001,株式会社AAAｺｰﾎﾟﾚｰｼｮﾝ,2026/1/1 0:00:00,2026/9/30 0:00:00,CNSHA,,COS,,1,,JPOSA,,2000,,USD,,C02,,460,ETDベース,,,,,,,,,2030,CARRIERS DOC FEE■,JPY,,14,,6000,,,,,,,,2010,THC■,JPY,,C02,,36000,,,,,,,,,,,,,,,2220,LSS,USD,,C02,,145,,,,,,,,2160,CIC,USD,,C02,,180,,,,,,,,2211,EMC※,JPY,,C02,,2727,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0449,1,M25052000020,0000,3,0,,0,,U00001,株式会社AAAｺｰﾎﾟﾚｰｼｮﾝ,ETD 2026/4/1分から適用,,,,M2025052000003,M25052000020,EFCL,,U00001,株式会社AAAｺｰﾎﾟﾚｰｼｮﾝ,2026/1/1 0:00:00,2026/9/30 0:00:00,CNSHA,,COS,,1,,JPOSA,,2000,,USD,,C03,,860,ETDベース,,,,,,,,,2030,CARRIERS DOC FEE■,JPY,,14,,6000,,,,,,,,2010,THC■,JPY,,C03,,55000,,,,,,,,,,,,,,,2220,LSS,USD,,C03,,290,,,,,,,,2160,CIC,USD,,C03,,360,,,,,,,,2211,EMC※,JPY,,C03,,5454,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0449,1,M25052000020,0000,4,0,,0,,U00001,株式会社AAAｺｰﾎﾟﾚｰｼｮﾝ,ETD 2026/4/1分から適用,,,,M2025052000003,M25052000020,EFCL,,U00001,株式会社AAAｺｰﾎﾟﾚｰｼｮﾝ,2026/1/1 0:00:00,2026/9/30 0:00:00,CNSHA,,COS,,1,,JPOSA,,2000,,USD,,C04,,860,ETDベース,,,,,,,,,2030,CARRIERS DOC FEE■,JPY,,14,,6000,,,,,,,,2010,THC■,JPY,,C04,,55000,,,,,,,,,,,,,,,2220,LSS,USD,,C04,,290,,,,,,,,2160,CIC,USD,,C04,,360,,,,,,,,2211,EMC※,JPY,,C04,,5454,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0449,1,M25052000021,0000,1,0,,0,,U00001,株式会社AAAｺｰﾎﾟﾚｰｼｮﾝ,ETD 2026/4/1分から適用,,,,M2025052000003,M25052000021,EFCL,,U00001,株式会社AAAｺｰﾎﾟﾚｰｼｮﾝ,2026/1/1 0:00:00,2026/9/30 0:00:00,CNSHA,,COS,,1,,JPTYO,,2041,,JPY,,C00,,3000,ETDベース,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0449,1,M25052000021,0000,2,0,,0,,U00001,株式会社AAAｺｰﾎﾟﾚｰｼｮﾝ,ETD 2026/4/1分から適用,,,,M2025052000003,M25052000021,EFCL,,U00001,株式会社AAAｺｰﾎﾟﾚｰｼｮﾝ,2026/1/1 0:00:00,2026/9/30 0:00:00,CNSHA,,COS,,1,,JPTYO,,2000,,USD,,C02,,460,ETDベース,,,,,,,,,2030,CARRIERS DOC FEE■,JPY,,14,,6000,,,,,,,,2010,THC■,JPY,,C02,,36000,,,,,,,,,,,,,,,2220,LSS,USD,,C02,,145,,,,,,,,2160,CIC,USD,,C02,,180,,,,,,,,2211,EMC※,JPY,,C02,,2727,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0449,1,M25052000021,0000,3,0,,0,,U00001,株式会社AAAｺｰﾎﾟﾚｰｼｮﾝ,ETD 2026/4/1分から適用,,,,M2025052000003,M25052000021,EFCL,,U00001,株式会社AAAｺｰﾎﾟﾚｰｼｮﾝ,2026/1/1 0:00:00,2026/9/30 0:00:00,CNSHA,,COS,,1,,JPTYO,,2000,,USD,,C03,,860,ETDベース,,,,,,,,,2030,CARRIERS DOC FEE■,JPY,,14,,6000,,,,,,,,2010,THC■,JPY,,C03,,55000,,,,,,,,,,,,,,,2220,LSS,USD,,C03,,290,,,,,,,,2160,CIC,USD,,C03,,360,,,,,,,,2211,EMC※,JPY,,C03,,5454,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0449,1,M25052000021,0000,4,0,,0,,U00001,株式会社AAAｺｰﾎﾟﾚｰｼｮﾝ,ETD 2026/4/1分から適用,,,,M2025052000003,M25052000021,EFCL,,U00001,株式会社AAAｺｰﾎﾟﾚｰｼｮﾝ,2026/1/1 0:00:00,2026/9/30 0:00:00,CNSHA,,COS,,1,,JPTYO,,2000,,USD,,C04,,860,ETDベース,,,,,,,,,2030,CARRIERS DOC FEE■,JPY,,14,,6000,,,,,,,,2010,THC■,JPY,,C04,,55000,,,,,,,,,,,,,,,2220,LSS,USD,,C04,,290,,,,,,,,2160,CIC,USD,,C04,,360,,,,,,,,2211,EMC※,JPY,,C04,,5454,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0449,1,M25052000022,0000,1,0,,0,,U00001,株式会社AAAｺｰﾎﾟﾚｰｼｮﾝ,ETD 2026/4/1分から適用,,,,M2025052000003,M25052000022,EFCL,,U00001,株式会社AAAｺｰﾎﾟﾚｰｼｮﾝ,2026/1/1 0:00:00,2026/9/30 0:00:00,CNSHA,,COS,,1,,JPUKB,,2041,,JPY,,C00,,3000,ETDベース,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0449,1,M25052000022,0000,2,0,,0,,U00001,株式会社AAAｺｰﾎﾟﾚｰｼｮﾝ,ETD 2026/4/1分から適用,,,,M2025052000003,M25052000022,EFCL,,U00001,株式会社AAAｺｰﾎﾟﾚｰｼｮﾝ,2026/1/1 0:00:00,2026/9/30 0:00:00,CNSHA,,COS,,1,,JPUKB,,2000,,USD,,C02,,460,ETDベース,,,,,,,,,2030,CARRIERS DOC FEE■,JPY,,14,,6000,,,,,,,,2010,THC■,JPY,,C02,,36000,,,,,,,,,,,,,,,2220,LSS,USD,,C02,,145,,,,,,,,2160,CIC,USD,,C02,,180,,,,,,,,2211,EMC※,JPY,,C02,,2727,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0449,1,M25052000022,0000,3,0,,0,,U00001,株式会社AAAｺｰﾎﾟﾚｰｼｮﾝ,ETD 2026/4/1分から適用,,,,M2025052000003,M25052000022,EFCL,,U00001,株式会社AAAｺｰﾎﾟﾚｰｼｮﾝ,2026/1/1 0:00:00,2026/9/30 0:00:00,CNSHA,,COS,,1,,JPUKB,,2000,,USD,,C03,,860,ETDベース,,,,,,,,,2030,CARRIERS DOC FEE■,JPY,,14,,6000,,,,,,,,2010,THC■,JPY,,C03,,55000,,,,,,,,,,,,,,,2220,LSS,USD,,C03,,290,,,,,,,,2160,CIC,USD,,C03,,360,,,,,,,,2211,EMC※,JPY,,C03,,5454,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0449,1,M25052000022,0000,4,0,,0,,U00001,株式会社AAAｺｰﾎﾟﾚｰｼｮﾝ,ETD 2026/4/1分から適用,,,,M2025052000003,M25052000022,EFCL,,U00001,株式会社AAAｺｰﾎﾟﾚｰｼｮﾝ,2026/1/1 0:00:00,2026/9/30 0:00:00,CNSHA,,COS,,1,,JPUKB,,2000,,USD,,C04,,860,ETDベース,,,,,,,,,2030,CARRIERS DOC FEE■,JPY,,14,,6000,,,,,,,,2010,THC■,JPY,,C04,,55000,,,,,,,,,,,,,,,2220,LSS,USD,,C04,,290,,,,,,,,2160,CIC,USD,,C04,,360,,,,,,,,2211,EMC※,JPY,,C04,,5454,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0449,1,M25052000027,0000,1,0,,0,,U00001,株式会社AAAｺｰﾎﾟﾚｰｼｮﾝ,ETD 2026/4/1分から適用,,,,M2025052000003,M25052000027,EFCL,,U00001,株式会社AAAｺｰﾎﾟﾚｰｼｮﾝ,2026/1/1 0:00:00,2026/9/30 0:00:00,CNSHA,,SIN,,1,,JPOSA,,2041,,JPY,,C00,,3000,ETDベース,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0449,1,M25052000027,0000,2,0,,0,,U00001,株式会社AAAｺｰﾎﾟﾚｰｼｮﾝ,ETD 2026/4/1分から適用,,,,M2025052000003,M25052000027,EFCL,,U00001,株式会社AAAｺｰﾎﾟﾚｰｼｮﾝ,2026/1/1 0:00:00,2026/9/30 0:00:00,CNSHA,,SIN,,1,,JPOSA,,2000,,USD,,C02,,240,ETDベース,,,,,,,,,2030,CARRIERS DOC FEE■,JPY,,14,,6000,,,,,,,,2010,THC■,JPY,,C02,,36000,2050,FAF,USD,,C02,,200,2060,YAS,USD,,C02,,30,2220,LSS,USD,,C02,,145,,,,,,,,2160,CIC,USD,,C02,,180,2210,EMC,JPY,,C02,,3000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0449,1,M25052000027,0000,3,0,,0,,U00001,株式会社AAAｺｰﾎﾟﾚｰｼｮﾝ,ETD 2026/4/1分から適用,,,,M2025052000003,M25052000027,EFCL,,U00001,株式会社AAAｺｰﾎﾟﾚｰｼｮﾝ,2026/1/1 0:00:00,2026/9/30 0:00:00,CNSHA,,SIN,,1,,JPOSA,,2000,,USD,,C03,,420,ETDベース,,,,,,,,,2030,CARRIERS DOC FEE■,JPY,,14,,6000,,,,,,,,2010,THC■,JPY,,C03,,55000,2050,FAF,USD,,C03,,400,2060,YAS,USD,,C03,,60,2220,LSS,USD,,C03,,290,,,,,,,,2160,CIC,USD,,C03,,360,2210,EMC,JPY,,C03,,6000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
